CLEANED NAME,GAME RESULT,POINT DIFFERENCE,PACE,HOME TEAM OFFENSIVE RATING,HOME TEAM DEFENSIVE RATING,HOME TEAM 2PT%,HOME TEAM 3PT%,HOME TEAM FT%,HOME TEAM REBOUNDS,HOME TEAM ASSISTS,HOME TEAM STEALS,HOME TEAM BLOCKS,HOME TEAM TURNOVERS,HOME TEAM AVERAGE PLUS/MINUS,HOME TEAM DOUBLE DOUBLES,HOME TEAM TOP 50 CONTRACT PLAYERS,AWAY TEAM OFFENSIVE RATING,AWAY TEAM DEFENSIVE RATING,AWAY TEAM 2PT%,AWAY TEAM 3PT%,AWAY TEAM FT%,AWAY TEAM REBOUNDS,AWAY TEAM ASSISTS,AWAY TEAM STEALS,AWAY TEAM BLOCKS,AWAY TEAM TURNOVERS,AWAY TEAM AVERAGE PLUS/MINUS,AWAY TEAM DOUBLE DOUBLES,AWAY TEAM TOP 50 CONTRACT PLAYERS
20200817-H-LAC-A-DAL,1,8,103.5,114,108.0909091,0.561403509,0.342105263,0.75,45,18,12,3,11,3.636363636,2,2,106.3,114.4,0.578947368,0.348837209,0.875,41,18,9,2,21,-4,0,1
20200817-H-TOR-A-BRK,1,24,101,132.7,108.4545455,0.43902439,0.5,0.96969697,47,26,4,6,11,10.90909091,2,5,108.9,133.6153846,0.6,0.30952381,0.6875,45,33,4,2,14,-9.230769231,2,0
20200818-H-HOU-A-OKC,1,15,98,125.5,106.6363636,0.621621622,0.384615385,0.894736842,36,25,4,1,7,6.818181818,1,1,110.2,125.6153846,0.489795918,0.371428571,0.84,46,22,2,3,12,-5.769230769,2,3
20200818-H-IND-A-MIA,0,12,91.1,110.9,124.1,0.5,0.416666667,0.863636364,37,22,7,4,13,-6,1,2,124.1,112.1111111,0.586956522,0.371428571,0.8,35,22,8,7,9,6.666666667,1,2
20200818-H-LAL-A-POR,0,7,101.1,92,100.2,0.446153846,0.15625,0.64516129,55,22,11,4,9,-3.5,2,2,98.9,91.375,0.4,0.382352941,0.757575758,50,18,3,8,16,4.375,2,3
20200818-H-MIL-A-ORL,0,12,106.5,103.3,115.9166667,0.520833333,0.333333333,0.642857143,47,28,6,3,16,-5,1,2,114.5,103.2222222,0.583333333,0.390243902,0.947368421,48,29,6,2,15,6.666666667,2,1
20200819-H-BOS-A-PHI,1,27,94.1,136.1,107.6153846,0.581395349,0.441860465,0.724137931,43,20,4,5,6,10.38461538,0,3,107.4,135,0.482758621,0.238095238,0.810810811,38,21,2,3,9,-11.25,2,3
20200819-H-DEN-A-UTA,0,19,85.6,122.7,142.5384615,0.444444444,0.481481481,0.782608696,41,22,1,4,10,-7.307692308,1,3,144.8,122.6923077,0.581395349,0.454545455,0.823529412,36,32,5,7,6,7.307692308,0,2
20200819-H-LAC-A-DAL,0,13,104.6,109,121.8333333,0.54,0.294117647,0.769230769,47,16,4,2,15,-5.416666667,2,2,121.4,107.2,0.525423729,0.448275862,0.702702703,49,25,5,4,9,6.5,0,1
20200819-H-TOR-A-BRK,1,5,100.5,103.5,97.77777778,0.557692308,0.257142857,0.678571429,44,22,7,6,8,2.777777778,1,5,98.5,105,0.431818182,0.341463415,0.703703704,46,25,3,6,17,-3.125,3,0
